epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,13045.3,0.27809,0.27458,0.20278,0.80455,0.89903,0.77016,0.85663,0.72977,0.89341,0.76534,0.84948,0.67949,0.59931,1.75765,0.47662,0.87715,0.000641125,0.000641125,0.000641125
31,13479,0.27324,0.25835,0.20075,0.80243,0.88443,0.7842,0.85654,0.73032,0.90237,0.75973,0.84935,0.67988,0.59933,1.78875,0.47746,0.87464,0.00062875,0.00062875,0.00062875
32,13913.4,0.2694,0.26975,0.19868,0.80146,0.88359,0.78857,0.85879,0.73259,0.89553,0.76855,0.85175,0.68547,0.60151,1.74343,0.47656,0.88087,0.000616375,0.000616375,0.000616375
33,14346.2,0.26366,0.25482,0.19525,0.80162,0.88282,0.78876,0.86085,0.73238,0.8629,0.79275,0.85363,0.67967,0.60171,1.75861,0.46956,0.87965,0.000604,0.000604,0.000604
34,14781.3,0.26018,0.25196,0.1934,0.8026,0.88475,0.78527,0.85962,0.73409,0.87978,0.78085,0.85282,0.68041,0.59613,1.78569,0.47269,0.87796,0.000591625,0.000591625,0.000591625
35,15216.1,0.25369,0.23683,0.18883,0.80082,0.89117,0.7858,0.85975,0.73653,0.88799,0.78299,0.85569,0.68626,0.59369,1.83004,0.46859,0.88176,0.00057925,0.00057925,0.00057925
36,15651.4,0.25264,0.23114,0.18774,0.80025,0.89283,0.78199,0.85936,0.73422,0.89752,0.77286,0.8547,0.68437,0.59243,1.8387,0.47507,0.88195,0.000566875,0.000566875,0.000566875
37,16084.9,0.24422,0.22248,0.18348,0.80007,0.91837,0.7627,0.85976,0.73562,0.91055,0.75538,0.85181,0.68609,0.59002,1.87306,0.47162,0.87995,0.0005545,0.0005545,0.0005545
38,16520.2,0.24182,0.21861,0.18234,0.79961,0.8954,0.7854,0.86204,0.73749,0.88933,0.77457,0.85451,0.68406,0.59132,1.89818,0.47228,0.88118,0.000542125,0.000542125,0.000542125
39,16956.5,0.23852,0.21463,0.18125,0.79865,0.90893,0.76864,0.85963,0.73699,0.90031,0.76074,0.85007,0.68067,0.58809,1.91104,0.47542,0.87815,0.00052975,0.00052975,0.00052975
40,17391.7,0.231,0.19829,0.17577,0.79719,0.89955,0.77337,0.85922,0.73635,0.88881,0.76414,0.8489,0.68082,0.59073,1.90846,0.47784,0.8825,0.000517375,0.000517375,0.000517375
41,17826.4,0.22823,0.20257,0.17477,0.797,0.89581,0.77577,0.85784,0.73546,0.88388,0.7694,0.84852,0.67978,0.58935,1.92142,0.48018,0.88145,0.000505,0.000505,0.000505
